,EmployeeNumber,Gender,EducationField,Age,MaritalStatus,Department,JobRole,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
13,18,Male,Medical,34,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,1346,19,2,2,93,3,1,4,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2
14,19,Male,Life Sciences,28,Single,Research & Development,Laboratory Technician,Yes,Travel_Rarely,103,24,3,3,50,2,1,3,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3
15,20,Female,Life Sciences,29,Divorced,Research & Development,Manufacturing Director,No,Travel_Rarely,1389,21,4,2,51,4,3,1,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8
16,21,Male,Life Sciences,32,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,334,5,2,1,80,4,1,2,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5
17,22,Male,Medical,22,Divorced,Research & Development,Laboratory Technician,No,Non-Travel,1123,16,2,4,96,4,1,4,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0
18,23,Female,Life Sciences,53,Married,Sales,Manager,No,Travel_Rarely,1219,2,4,1,78,2,4,4,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7
19,24,Male,Life Sciences,38,Single,Research & Development,Research Scientist,No,Travel_Rarely,371,2,3,4,45,3,1,4,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2
20,26,Female,Other,24,Divorced,Research & Development,Manufacturing Director,No,Non-Travel,673,11,2,1,96,4,2,3,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3
21,27,Male,Life Sciences,36,Single,Sales,Sales Representative,Yes,Travel_Rarely,1218,9,4,3,82,2,1,1,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3
22,28,Female,Life Sciences,34,Single,Research & Development,Research Director,No,Travel_Rarely,419,7,4,1,53,3,3,2,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11
23,30,Male,Life Sciences,21,Single,Research & Development,Research Scientist,No,Travel_Rarely,391,15,2,3,96,3,1,4,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0
24,31,Male,Medical,34,Single,Research & Development,Research Scientist,Yes,Travel_Rarely,699,6,1,2,83,3,1,1,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3
25,32,Female,Other,53,Divorced,Research & Development,Manager,No,Travel_Rarely,1282,5,3,3,58,3,5,3,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8
26,33,Female,Life Sciences,32,Single,Research & Development,Research Scientist,Yes,Travel_Frequently,1125,16,1,2,72,1,1,1,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7
27,35,Male,Marketing,42,Married,Sales,Sales Executive,No,Travel_Rarely,691,8,4,3,48,3,2,2,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2
28,36,Female,Medical,44,Married,Research & Development,Healthcare Representative,No,Travel_Rarely,477,7,4,1,42,2,3,4,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17
29,38,Female,Marketing,46,Single,Sales,Manager,No,Travel_Rarely,705,2,4,2,83,3,5,1,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1
30,39,Male,Medical,33,Single,Research & Development,Laboratory Technician,No,Travel_Rarely,924,2,3,3,78,3,1,4,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0
31,40,Male,Other,44,Married,Research & Development,Healthcare Representative,No,Travel_Rarely,1459,10,4,4,41,3,2,4,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3
32,41,Male,Medical,30,Single,Research & Development,Laboratory Technician,No,Travel_Rarely,125,9,2,4,83,2,1,3,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8
33,42,Male,Technical Degree,39,Married,Sales,Sales Representative,Yes,Travel_Rarely,895,5,3,4,56,3,2,4,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0
34,45,Male,Medical,24,Married,Research & Development,Research Scientist,Yes,Travel_Rarely,813,1,3,2,61,3,1,4,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0
35,46,Female,Medical,43,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,1273,2,2,4,72,4,1,3,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4
36,47,Male,Marketing,50,Married,Sales,Sales Representative,Yes,Travel_Rarely,869,3,2,1,86,2,1,3,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2
37,49,Female,Marketing,35,Married,Sales,Sales Representative,No,Travel_Rarely,890,2,3,4,97,3,1,4,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2
38,51,Female,Life Sciences,36,Married,Research & Development,Research Scientist,No,Travel_Rarely,852,5,4,2,82,2,1,1,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0
39,52,Female,Life Sciences,33,Married,Sales,Sales Executive,No,Travel_Frequently,1141,1,3,3,42,4,2,1,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3
40,53,Male,Other,35,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,464,4,2,3,75,3,1,4,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0
41,54,Female,Life Sciences,27,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,1240,2,4,4,33,3,1,1,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0
42,55,Male,Life Sciences,26,Single,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1357,25,3,1,48,1,1,3,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1
43,56,Male,Life Sciences,27,Single,Sales,Sales Executive,No,Travel_Frequently,994,8,3,4,37,3,3,3,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7
44,57,Female,Medical,30,Single,Research & Development,Laboratory Technician,No,Travel_Frequently,721,1,2,3,58,3,2,4,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7
45,58,Female,Technical Degree,41,Married,Research & Development,Research Director,Yes,Travel_Rarely,1360,12,3,2,49,3,5,3,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8
46,60,Male,Marketing,34,Single,Sales,Sales Executive,No,Non-Travel,1065,23,4,2,72,3,2,3,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7
47,61,Male,Life Sciences,37,Married,Research & Development,Research Scientist,No,Travel_Rarely,408,19,2,2,73,3,1,2,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0
48,62,Male,Marketing,46,Single,Sales,Sales Executive,No,Travel_Frequently,1211,5,4,1,98,3,2,4,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8
49,63,Male,Life Sciences,35,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,1229,8,1,4,36,4,1,4,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1
50,64,Male,Life Sciences,48,Single,Research & Development,Laboratory Technician,Yes,Travel_Rarely,626,1,2,1,98,2,3,3,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0
51,65,Male,Technical Degree,28,Single,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1434,5,4,3,50,3,1,3,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2
52,68,Female,Marketing,44,Divorced,Sales,Sales Executive,No,Travel_Rarely,1488,1,5,2,75,3,2,1,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3
53,70,Male,Medical,35,Married,Research & Development,Healthcare Representative,No,Non-Travel,1097,11,2,3,79,2,3,1,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3
54,72,Female,Marketing,26,Married,Sales,Sales Executive,No,Travel_Rarely,1443,23,3,3,47,2,2,4,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0
55,73,Female,Life Sciences,33,Single,Research & Development,Research Director,No,Travel_Frequently,515,1,2,1,98,3,3,4,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12
56,74,Male,Life Sciences,35,Married,Sales,Sales Executive,No,Travel_Frequently,853,18,5,2,71,3,3,1,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8
57,75,Female,Medical,35,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,1142,23,4,3,30,3,1,1,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2
58,76,Male,Life Sciences,31,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,655,7,4,4,48,3,2,4,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7
59,77,Male,Life Sciences,37,Divorced,Research & Development,Manufacturing Director,No,Travel_Rarely,1115,1,4,1,51,2,2,3,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7
60,78,Male,Medical,32,Married,Research & Development,Manufacturing Director,No,Travel_Rarely,427,1,3,1,33,3,2,4,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8
61,79,Female,Life Sciences,38,Single,Research & Development,Laboratory Technician,No,Travel_Frequently,653,29,5,4,50,3,2,4,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9
62,80,Female,Medical,50,Divorced,Research & Development,Research Director,No,Travel_Rarely,989,7,2,2,43,2,5,3,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8
63,81,Female,Life Sciences,59,Single,Sales,Sales Executive,No,Travel_Rarely,1435,25,3,1,99,3,3,1,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9
64,83,Female,Technical Degree,36,Divorced,Research & Development,Healthcare Representative,No,Travel_Rarely,1223,8,3,3,59,3,3,3,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8
65,84,Female,Medical,55,Divorced,Research & Development,Manager,No,Travel_Rarely,836,8,3,4,33,3,4,3,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2
66,85,Male,Life Sciences,36,Single,Research & Development,Manufacturing Director,No,Travel_Frequently,1195,11,3,2,95,2,2,2,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3
67,86,Male,Life Sciences,45,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,1339,7,3,2,59,3,3,1,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0
68,88,Male,Medical,35,Married,Research & Development,Research Scientist,No,Travel_Frequently,664,1,3,2,79,3,1,1,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2
69,90,Male,Medical,36,Married,Research & Development,Research Scientist,Yes,Travel_Rarely,318,9,3,4,79,2,1,3,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0
70,91,Female,Life Sciences,59,Single,Sales,Sales Executive,No,Travel_Frequently,1225,1,1,1,57,2,2,3,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3
71,94,Male,Life Sciences,29,Married,Research & Development,Research Scientist,No,Travel_Rarely,1328,2,3,3,76,3,1,2,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4
72,95,Male,Medical,31,Single,Research & Development,Research Scientist,No,Travel_Rarely,1082,1,4,3,87,3,1,2,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0
73,96,Male,Life Sciences,32,Married,Research & Development,Research Scientist,No,Travel_Rarely,548,1,3,2,66,3,2,2,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9
74,97,Female,Life Sciences,36,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,132,6,3,2,55,4,1,4,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0
75,98,Female,Life Sciences,31,Single,Research & Development,Manufacturing Director,No,Travel_Rarely,746,8,4,3,61,3,2,4,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8
76,100,Male,Marketing,35,Single,Sales,Sales Executive,No,Travel_Rarely,776,1,4,3,32,2,2,1,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8
77,101,Male,Other,45,Married,Research & Development,Research Director,No,Travel_Rarely,193,6,4,4,52,3,3,1,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0
78,102,Male,Medical,37,Single,Research & Development,Research Director,No,Travel_Rarely,397,7,4,1,30,3,3,3,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2
79,103,Male,Medical,46,Divorced,Human Resources,Human Resources,No,Travel_Rarely,945,5,2,2,80,3,2,2,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2
80,104,Male,Life Sciences,30,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,852,1,1,4,55,2,2,4,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0
81,105,Male,Medical,35,Single,Research & Development,Research Scientist,No,Travel_Rarely,1214,1,3,2,30,2,1,3,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4
82,106,Male,Life Sciences,55,Married,Sales,Sales Executive,No,Travel_Rarely,111,1,2,1,70,3,3,4,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0
83,107,Female,Medical,38,Divorced,Research & Development,Research Scientist,No,Non-Travel,573,6,3,2,79,1,2,4,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9
84,110,Male,Medical,34,Married,Research & Development,Manufacturing Director,No,Travel_Rarely,1153,1,2,1,94,3,2,2,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3
85,112,Male,Life Sciences,56,Single,Research & Development,Manufacturing Director,No,Travel_Rarely,1400,7,3,4,49,1,3,4,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2
86,113,Male,Technical Degree,23,Divorced,Sales,Sales Representative,No,Travel_Rarely,541,2,1,3,62,3,1,1,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0
87,116,Male,Life Sciences,51,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,432,9,4,4,96,3,1,4,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3
88,117,Male,Life Sciences,30,Married,Research & Development,Healthcare Representative,No,Travel_Rarely,288,2,3,3,99,2,2,4,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8
89,118,Male,Medical,46,Single,Sales,Sales Executive,Yes,Travel_Rarely,669,9,2,3,64,2,3,4,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7
90,119,Male,Life Sciences,40,Married,Research & Development,Healthcare Representative,No,Travel_Frequently,530,1,4,3,78,2,4,2,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11
91,120,Male,Marketing,51,Single,Sales,Sales Executive,No,Travel_Rarely,632,21,4,3,71,3,2,4,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0
92,121,Female,Medical,30,Divorced,Sales,Sales Executive,No,Travel_Rarely,1334,4,2,3,63,2,2,2,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7
93,124,Male,Medical,46,Married,Research & Development,Healthcare Representative,No,Travel_Frequently,638,1,3,3,40,2,3,1,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5
94,125,Male,Medical,32,Single,Sales,Sales Executive,No,Travel_Rarely,1093,6,4,2,87,3,2,3,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7
95,126,Female,Technical Degree,54,Married,Research & Development,Research Director,No,Travel_Rarely,1217,2,4,1,60,3,3,3,13549,24001,9,No,12,3,1,1,16,5,1,4,3,0,3
96,128,Female,Other,24,Married,Sales,Sales Executive,No,Travel_Rarely,1353,3,2,1,33,3,2,3,4999,17519,0,No,21,4,1,1,4,2,2,3,2,0,2
97,129,Male,Medical,28,Married,Sales,Sales Executive,No,Non-Travel,120,4,3,2,43,3,2,3,4221,8863,1,No,15,3,2,0,5,3,4,5,4,0,4
98,131,Male,Medical,58,Single,Sales,Sales Executive,No,Travel_Rarely,682,10,4,4,37,3,4,3,13872,24409,0,No,13,3,3,0,38,1,2,37,10,1,8
99,132,Male,Medical,44,Married,Research & Development,Laboratory Technician,No,Non-Travel,489,23,3,2,67,3,2,2,2042,25043,4,No,12,3,3,1,17,3,4,3,2,1,2
100,133,Male,Human Resources,37,Divorced,Human Resources,Human Resources,Yes,Travel_Rarely,807,6,4,3,63,3,1,1,2073,23648,4,Yes,22,4,4,0,7,3,3,3,2,0,2
101,134,Male,Life Sciences,32,Single,Research & Development,Research Scientist,No,Travel_Rarely,827,1,1,4,71,3,1,1,2956,15178,1,No,13,3,4,0,1,2,3,1,0,0,0
102,137,Female,Life Sciences,20,Single,Research & Development,Laboratory Technician,Yes,Travel_Frequently,871,6,3,4,66,2,1,4,2926,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0
103,138,Female,Other,34,Single,Research & Development,Research Scientist,No,Travel_Rarely,665,6,4,1,41,3,2,3,4809,12482,1,No,14,3,3,0,16,3,3,16,13,2,10
104,139,Male,Life Sciences,37,Divorced,Research & Development,Healthcare Representative,No,Non-Travel,1040,2,2,3,100,2,2,4,5163,15850,5,No,14,3,4,1,17,2,4,1,0,0,0
105,140,Female,Human Resources,59,Married,Human Resources,Manager,No,Non-Travel,1420,2,4,3,32,2,5,4,18844,21922,9,No,21,4,4,1,30,3,3,3,2,2,2
106,141,Female,Life Sciences,50,Married,Research & Development,Research Director,No,Travel_Frequently,1115,1,3,1,73,3,5,2,18172,9755,3,Yes,19,3,1,0,28,1,2,8,3,0,7
107,142,Male,Marketing,25,Single,Sales,Sales Executive,Yes,Travel_Rarely,240,5,3,3,46,2,2,3,5744,26959,1,Yes,11,3,4,0,6,1,3,6,4,0,3
108,143,Male,Medical,25,Married,Research & Development,Research Scientist,No,Travel_Rarely,1280,7,1,4,64,2,1,4,2889,26897,1,No,11,3,3,2,2,2,3,2,2,2,1
109,144,Female,Medical,22,Single,Research & Development,Laboratory Technician,No,Travel_Rarely,534,15,3,2,59,3,1,4,2871,23785,1,No,15,3,3,0,1,5,3,0,0,0,0
110,145,Female,Medical,51,Single,Research & Development,Healthcare Representative,No,Travel_Frequently,1456,1,4,1,30,2,3,1,7484,25796,3,No,20,4,3,0,23,1,2,13,12,12,8
111,147,Male,Life Sciences,34,Single,Research & Development,Laboratory Technician,Yes,Travel_Frequently,658,7,3,1,66,1,2,3,6074,22887,1,Yes,24,4,4,0,9,3,3,9,7,0,6
112,148,Female,Human Resources,54,Single,Human Resources,Manager,No,Non-Travel,142,26,3,4,30,4,4,4,17328,13871,2,Yes,12,3,3,0,23,3,3,5,3,4,4
113,150,Male,Life Sciences,24,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,1127,18,1,2,52,3,1,3,2774,13257,0,No,12,3,3,1,6,2,3,5,3,1,2
114,151,Female,Life Sciences,34,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,1031,6,4,3,45,2,2,2,4505,15000,6,No,15,3,3,1,12,3,3,1,0,0,0
115,152,Male,Life Sciences,37,Single,Sales,Sales Executive,No,Travel_Rarely,1189,3,3,3,87,3,3,4,7428,14506,2,No,12,3,1,0,12,3,3,5,3,1,3
116,153,Female,Medical,34,Single,Research & Development,Manager,No,Travel_Rarely,1354,5,3,3,45,2,3,1,11631,5615,2,No,12,3,4,0,14,6,3,11,10,5,8
117,154,Female,Technical Degree,36,Married,Sales,Sales Executive,No,Travel_Frequently,1467,11,2,2,92,3,3,4,9738,22952,0,No,14,3,3,1,10,6,3,9,7,2,8
118,155,Female,Life Sciences,36,Divorced,Research & Development,Laboratory Technician,No,Travel_Rarely,922,3,2,1,39,3,1,4,2835,2561,5,No,22,4,1,1,7,2,3,1,0,0,0
119,158,Male,Life Sciences,43,Married,Sales,Manager,No,Travel_Frequently,394,26,2,3,92,3,4,4,16959,19494,1,Yes,12,3,4,2,25,3,4,25,12,4,12
120,159,Male,Life Sciences,30,Divorced,Research & Development,Research Scientist,No,Travel_Frequently,1312,23,3,1,96,1,1,3,2613,22310,1,No,25,4,3,3,10,2,2,10,7,0,9
121,160,Male,Marketing,33,Married,Sales,Sales Executive,No,Non-Travel,750,22,2,3,95,3,2,2,6146,15480,0,No,13,3,1,1,8,2,4,7,7,0,7
122,161,Female,Life Sciences,56,Married,Research & Development,Research Scientist,Yes,Travel_Rarely,441,14,4,2,72,3,1,2,4963,4510,9,Yes,18,3,1,3,7,2,3,5,4,4,3
123,162,Male,Life Sciences,51,Single,Research & Development,Research Director,No,Travel_Rarely,684,6,3,1,51,3,5,3,19537,6462,7,No,13,3,3,0,23,5,3,20,18,15,15
124,163,Male,Life Sciences,31,Married,Sales,Sales Executive,Yes,Travel_Rarely,249,6,4,2,76,1,2,3,6172,20739,4,Yes,18,3,2,0,12,3,2,7,7,7,7
125,164,Female,Other,26,Married,Research & Development,Research Scientist,No,Travel_Rarely,841,6,3,3,46,2,1,2,2368,23300,1,No,19,3,3,0,5,3,2,5,4,4,3
126,165,Female,Medical,58,Married,Research & Development,Healthcare Representative,Yes,Travel_Rarely,147,23,4,4,94,3,3,4,10312,3465,1,No,12,3,4,1,40,3,2,40,10,15,6
127,167,Male,Marketing,19,Single,Sales,Sales Representative,Yes,Travel_Rarely,528,22,1,4,50,3,1,3,1675,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,0
128,169,Male,Technical Degree,22,Married,Research & Development,Laboratory Technician,No,Travel_Rarely,594,2,1,3,100,3,1,4,2523,19299,0,No,14,3,3,1,3,2,3,2,1,2,1
129,170,Female,Medical,49,Married,Research & Development,Manufacturing Director,No,Travel_Rarely,470,20,4,3,96,3,2,1,6567,5549,1,No,14,3,3,0,16,2,2,15,11,5,11
130,171,Female,Medical,43,Single,Research & Development,Research Scientist,No,Travel_Frequently,957,28,3,2,72,4,1,3,4739,16090,4,No,12,3,4,0,18,2,3,3,2,1,2
131,174,Female,Marketing,50,Single,Sales,Sales Executive,No,Travel_Frequently,809,12,3,3,77,3,3,4,9208,6645,4,No,11,3,4,0,16,3,3,2,2,2,1
132,175,Female,Life Sciences,31,Married,Sales,Sales Executive,Yes,Travel_Rarely,542,20,3,2,71,1,2,3,4559,24788,3,Yes,11,3,3,1,4,2,3,2,2,2,2
133,176,Male,Life Sciences,41,Divorced,Sales,Sales Executive,No,Travel_Rarely,802,9,1,3,96,3,3,3,8189,21196,3,Yes,13,3,3,1,12,2,3,9,7,0,7
134,177,Female,Life Sciences,26,Married,Human Resources,Human Resources,No,Travel_Rarely,1355,25,1,3,61,3,1,3,2942,8916,1,No,23,4,4,1,8,3,3,8,7,5,7
135,178,Male,Medical,36,Divorced,Research & Development,Manufacturing Director,No,Travel_Rarely,216,6,2,2,84,3,2,2,4941,2819,6,No,20,4,4,2,7,0,3,3,2,0,1
136,179,Male,Life Sciences,51,Single,Research & Development,Manufacturing Director,Yes,Travel_Frequently,1150,8,4,1,53,1,3,4,10650,25150,2,No,15,3,4,0,18,2,3,4,2,0,3
137,182,Female,Life Sciences,39,Married,Sales,Sales Executive,No,Travel_Rarely,1329,4,4,4,47,2,2,3,5902,14590,4,No,14,3,3,1,17,1,4,15,11,5,9
138,183,Male,Life Sciences,25,Married,Sales,Sales Executive,No,Travel_Rarely,959,28,3,1,41,2,2,3,8639,24835,2,No,18,3,4,0,6,3,3,2,2,2,2
139,184,Male,Human Resources,30,Married,Human Resources,Human Resources,No,Travel_Rarely,1240,9,3,3,48,3,2,4,6347,13982,0,Yes,19,3,4,0,12,2,1,11,9,4,7
140,190,Female,Medical,32,Single,Research & Development,Laboratory Technician,Yes,Travel_Rarely,1033,9,3,1,41,3,1,1,4200,10224,7,No,22,4,1,0,10,2,4,5,4,0,4
141,192,Male,Medical,45,Single,Research & Development,Research Scientist,No,Travel_Rarely,1316,29,3,3,83,3,1,4,3452,9752,5,No,13,3,2,0,9,2,2,6,5,0,3
142,193,Female,Technical Degree,38,Single,Research & Development,Research Scientist,No,Travel_Rarely,364,3,5,4,32,3,2,3,4317,2302,3,Yes,20,4,2,0,19,2,3,3,2,2,2
143,194,Female,Life Sciences,30,Single,Research & Development,Research Scientist,No,Travel_Rarely,438,18,3,1,75,3,1,3,2632,23910,1,No,14,3,3,0,5,4,2,5,4,0,4
144,195,Male,Medical,32,Divorced,Sales,Sales Executive,No,Travel_Frequently,689,9,2,4,35,1,2,4,4668,22812,0,No,17,3,4,3,9,2,4,8,7,0,7
145,197,Female,Technical Degree,30,Divorced,Research & Development,Research Scientist,No,Travel_Rarely,201,5,3,4,84,3,1,1,3204,10415,5,No,14,3,4,1,8,3,3,3,2,2,2
146,198,Male,Medical,30,Single,Research & Development,Laboratory Technician,No,Travel_Rarely,1427,2,1,2,35,2,1,4,2720,11162,0,No,13,3,4,0,6,3,3,5,3,1,2
